Title,Genre,Actors,Rating
District 9,"Action,Sci-Fi,Thriller","Sharlto Copley, David James, Jason Cope, Nathalie Boltt",8
The Other Guys,"Action,Comedy,Crime","Will Ferrell, Mark Wahlberg, Derek Jeter, Eva Mendes",6.7
American Gangster,"Biography,Crime,Drama","Denzel Washington, Russell Crowe, Chiwetel Ejiofor,Josh Brolin",7.8
Marie Antoinette,"Biography,Drama,History","Kirsten Dunst, Jason Schwartzman, Rip Torn, Judy Davis",6.4
2012,"Action,Adventure,Sci-Fi","John Cusack, Thandie Newton, Chiwetel Ejiofor,Amanda Peet",5.8
Harry Potter and the Half-Blood Prince,"Adventure,Family,Fantasy","Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon",7.5
Argo,"Biography,Drama,History","Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin",7.7
Eddie the Eagle,"Biography,Comedy,Drama","Taron Egerton, Hugh Jackman, Tom Costello, Jo Hartley",7.4
The Lives of Others,"Drama,Thriller","Ulrich Mühe, Martina Gedeck,Sebastian Koch, Ulrich Tukur",8.5
Pet,"Horror,Thriller","Dominic Monaghan, Ksenia Solo, Jennette McCurdy,Da'Vone McDonald",5.7
Paint It Black,Drama,"Alia Shawkat, Nancy Kwan, Annabelle Attanasio,Alfred Molina",8.3
Macbeth,"Drama,War","Michael Fassbender, Marion Cotillard, Jack Madigan,Frank Madigan",6.7
Forgetting Sarah Marshall,"Comedy,Drama,Romance","Kristen Bell, Jason Segel, Paul Rudd, Mila Kunis",7.2
The Giver,"Drama,Romance,Sci-Fi","Brenton Thwaites, Jeff Bridges, Meryl Streep, Taylor Swift",6.5
Triple 9,"Action,Crime,Drama","Casey Affleck, Chiwetel Ejiofor, Anthony Mackie,Aaron Paul",6.3
Perfetti sconosciuti,"Comedy,Drama","Giuseppe Battiston, Anna Foglietta, Marco Giallini,Edoardo Leo",7.7
Angry Birds,"Animation,Action,Adventure","Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph",6.3
Moonrise Kingdom,"Adventure,Comedy,Drama","Jared Gilman, Kara Hayward, Bruce Willis, Bill Murray",7.8
Hairspray,"Comedy,Drama,Family","John Travolta, Queen Latifah, Nikki Blonsky,Michelle Pfeiffer",6.7
Safe Haven,"Drama,Romance,Thriller","Julianne Hough, Josh Duhamel, Cobie Smulders,David Lyons",6.7
Focus,"Comedy,Crime,Drama","Will Smith, Margot Robbie, Rodrigo Santoro, Adrian Martinez",6.6
Ratatouille,"Animation,Comedy,Family","Brad Garrett, Lou Romano, Patton Oswalt,Ian Holm",8
Stake Land,"Drama,Horror,Sci-Fi","Connor Paolo, Nick Damici, Kelly McGillis, Gregory Jones",6.5
The Book of Eli,"Action,Adventure,Drama","Denzel Washington, Mila Kunis, Ray Stevenson, Gary Oldman",6.9
Cloverfield,"Action,Horror,Sci-Fi","Mike Vogel, Jessica Lucas, Lizzy Caplan, T.J. Miller",7
Point Break,"Action,Crime,Sport","Edgar Ramírez, Luke Bracey, Ray Winstone, Teresa Palmer",5.3
Under the Skin,"Drama,Horror,Sci-Fi","Scarlett Johansson, Jeremy McWilliams, Lynsey Taylor Mackay, Dougie McConnell",6.3
I Am Legend,"Drama,Horror,Sci-Fi","Will Smith, Alice Braga, Charlie Tahan, Salli Richardson-Whitfield",7.2
Men in Black 3,"Action,Adventure,Comedy","Will Smith, Tommy Lee Jones, Josh Brolin,Jemaine Clement",6.8
Super 8,"Mystery,Sci-Fi,Thriller","Elle Fanning, AJ Michalka, Kyle Chandler, Joel Courtney",7.1
Law Abiding Citizen,"Crime,Drama,Thriller","Gerard Butler, Jamie Foxx, Leslie Bibb, Colm Meaney",7.4
Up,"Animation,Adventure,Comedy","Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer",8.3
Maze Runner: The Scorch Trials,"Action,Sci-Fi,Thriller","Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster,Giancarlo Esposito",6.3
Carol,"Drama,Romance","Cate Blanchett, Rooney Mara, Sarah Paulson, Kyle Chandler",7.2
Imperium,"Crime,Drama,Thriller","Daniel Radcliffe, Toni Collette, Tracy Letts, Sam Trammell",6.5
Youth,"Comedy,Drama,Music","Michael Caine, Harvey Keitel, Rachel Weisz, Jane Fonda",7.3
Mr. Nobody,"Drama,Fantasy,Romance","Jared Leto, Sarah Polley, Diane Kruger, Linh Dan Pham",7.9
City of Tiny Lights,"Crime,Drama,Thriller","Riz Ahmed, Billie Piper, James Floyd, Cush Jumbo",5.7
Savages,"Crime,Drama,Thriller","Aaron Taylor-Johnson, Taylor Kitsch, Blake Lively,Benicio Del Toro",6.5
(500) Days of Summer,"Comedy,Drama,Romance","Zooey Deschanel, Joseph Gordon-Levitt, Geoffrey Arend, Chloë Grace Moretz",7.7
Movie 43,"Comedy,Romance","Emma Stone, Stephen Merchant, Richard Gere, Liev Schreiber",4.3
Gravity,"Drama,Sci-Fi,Thriller","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",7.8
The Boy in the Striped Pyjamas,"Drama,War","Asa Butterfield, David Thewlis, Rupert Friend, Zac Mattoon O'Brien",7.8
Shooter,"Action,Crime,Drama","Mark Wahlberg, Michael Peña, Rhona Mitra, Danny Glover",7.2
The Happening,"Sci-Fi,Thriller","Mark Wahlberg, Zooey Deschanel, John Leguizamo, Ashlyn Sanchez",5
Bone Tomahawk,"Adventure,Drama,Horror","Kurt Russell, Patrick Wilson, Matthew Fox, Richard Jenkins",7.1
Magic Mike XXL,"Comedy,Drama,Music","Channing Tatum, Joe Manganiello, Matt Bomer,Adam Rodriguez",5.7
Easy A,"Comedy,Drama,Romance","Emma Stone, Amanda Bynes, Penn Badgley, Dan Byrd",7.1
Exodus: Gods and Kings,"Action,Adventure,Drama","Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver",6
Chappie,"Action,Crime,Drama","Sharlto Copley, Dev Patel, Hugh Jackman,Sigourney Weaver",6.9
The Hobbit: The Desolation of Smaug,"Adventure,Fantasy","Ian McKellen, Martin Freeman, Richard Armitage,Ken Stott",7.9
Half of a Yellow Sun,"Drama,Romance","Chiwetel Ejiofor, Thandie Newton, Anika Noni Rose,Joseph Mawle",6.2
Anthropoid,"Biography,History,Thriller","Jamie Dornan, Cillian Murphy, Brian Caspe, Karel Hermánek Jr.",7.2
The Counselor,"Crime,Drama,Thriller","Michael Fassbender, Penélope Cruz, Cameron Diaz,Javier Bardem",5.3
Viking,"Action,Drama,History","Anton Adasinsky, Aleksandr Armer, Vilen Babichev, Rostislav Bershauer",4.7
Whiskey Tango Foxtrot,"Biography,Comedy,Drama","Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina",6.6
Trust,"Crime,Drama,Thriller","Clive Owen, Catherine Keener, Liana Liberato,Jason Clarke",7
Birth of the Dragon,"Action,Biography,Drama","Billy Magnussen, Terry Chen, Teresa Navarro,Vanessa Ross",3.9
Elysium,"Action,Drama,Sci-Fi","Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga",6.6
The Green Inferno,"Adventure,Horror","Lorenza Izzo, Ariel Levy, Aaron Burns, Kirby Bliss Blanton",5.4
Godzilla,"Action,Adventure,Sci-Fi","Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston, Ken Watanabe",6.4
The Bourne Legacy,"Action,Adventure,Mystery","Jeremy Renner, Rachel Weisz, Edward Norton, Scott Glenn",6.7
A Good Year,"Comedy,Drama,Romance","Russell Crowe, Abbie Cornish, Albert Finney, Marion Cotillard",6.9
Friend Request,"Horror,Thriller","Alycia Debnam-Carey, William Moseley, Connor Paolo, Brit Morgan",5.4
Deja Vu,"Action,Sci-Fi,Thriller","Denzel Washington, Paula Patton, Jim Caviezel, Val Kilmer",7
Lucy,"Action,Sci-Fi,Thriller","Scarlett Johansson, Morgan Freeman, Min-sik Choi,Amr Waked",6.4
A Quiet Passion,"Biography,Drama","Cynthia Nixon, Jennifer Ehle, Duncan Duff, Keith Carradine",7.2
Need for Speed,"Action,Crime,Drama","Aaron Paul, Dominic Cooper, Imogen Poots, Scott Mescudi",6.5
Jack Reacher,"Action,Crime,Mystery","Tom Cruise, Rosamund Pike, Richard Jenkins, Werner Herzog",7
The Do-Over,"Action,Adventure,Comedy","Adam Sandler, David Spade, Paula Patton, Kathryn Hahn",5.7
True Crimes,"Crime,Drama,Thriller","Jim Carrey, Charlotte Gainsbourg, Marton Csokas, Kati Outinen",7.3
American Pastoral,"Crime,Drama","Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert",6.1
The Ghost Writer,"Mystery,Thriller","Ewan McGregor, Pierce Brosnan, Olivia Williams,Jon Bernthal",7.2
Limitless,"Mystery,Sci-Fi,Thriller","Bradley Cooper, Anna Friel, Abbie Cornish, Robert De Niro",7.4
Spectral,"Action,Mystery,Sci-Fi","James Badge Dale, Emily Mortimer, Bruce Greenwood,Max Martini",6.3
P.S. I Love You,"Drama,Romance","Hilary Swank, Gerard Butler, Harry Connick Jr., Lisa Kudrow",7.1
Zipper,"Drama,Thriller","Patrick Wilson, Lena Headey, Ray Winstone,Richard Dreyfuss",5.7
Midnight Special,"Drama,Mystery,Sci-Fi","Michael Shannon, Joel Edgerton, Kirsten Dunst, Adam Driver",6.7
Don't Think Twice,"Comedy,Drama","Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia,Chris Gethard",6.8
Alice in Wonderland,"Adventure,Family,Fantasy","Mia Wasikowska, Johnny Depp, Helena Bonham Carter,Anne Hathaway",6.5
Chuck,"Biography,Drama,Sport","Elisabeth Moss, Naomi Watts, Ron Perlman, Liev Schreiber",6.8
"I, Daniel Blake",Drama,"Dave Johns, Hayley Squires, Sharon Percy, Briana Shann",7.9
The Break-Up,"Comedy,Drama,Romance","Jennifer Aniston, Vince Vaughn, Jon Favreau, Joey Lauren Adams",5.8
Loving,"Biography,Drama,Romance","Ruth Negga, Joel Edgerton, Will Dalton, Dean Mumford",7.1
Fantastic Four,"Action,Adventure,Sci-Fi","Miles Teller, Kate Mara, Michael B. Jordan, Jamie Bell",4.3
The Survivalist,"Drama,Sci-Fi,Thriller","Mia Goth, Martin McCann, Barry Ward, Andrew Simpson",6.3
Colonia,"Drama,Romance,Thriller","Emma Watson, Daniel Brühl, Michael Nyqvist,Richenda Carey",7.1
The Boy Next Door,"Mystery,Thriller","Jennifer Lopez, Ryan Guzman, Kristin Chenoweth, John Corbett",4.6
The Gift,"Mystery,Thriller","Jason Bateman, Rebecca Hall, Joel Edgerton, Allison Tolman",7.1
Dracula Untold,"Action,Drama,Fantasy","Luke Evans, Dominic Cooper, Sarah Gadon, Art Parkinson",6.3
In the Heart of the Sea,"Action,Adventure,Biography","Chris Hemsworth, Cillian Murphy, Brendan Gleeson,Ben Whishaw",6.9
Idiocracy,"Adventure,Comedy,Sci-Fi","Luke Wilson, Maya Rudolph, Dax Shepard, Terry Crews",6.6
The Expendables,"Action,Adventure,Thriller","Sylvester Stallone, Jason Statham, Jet Li, Dolph Lundgren",6.5
Evil Dead,"Fantasy,Horror","Jane Levy, Shiloh Fernandez, Jessica Lucas, Lou Taylor Pucci",6.5
Sinister,"Horror,Mystery","Ethan Hawke, Juliet Rylance, James Ransone,Fred Dalton Thompson",6.8
Wreck-It Ralph,"Animation,Adventure,Comedy","John C. Reilly, Jack McBrayer, Jane Lynch, Sarah Silverman",7.8
Snow White and the Huntsman,"Action,Adventure,Drama","Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin",6.1
Pan,"Adventure,Family,Fantasy","Levi Miller, Hugh Jackman, Garrett Hedlund, Rooney Mara",5.8
Transformers: Dark of the Moon,"Action,Adventure,Sci-Fi","Shia LaBeouf, Rosie Huntington-Whiteley, Tyrese Gibson, Josh Duhamel",6.3
Juno,"Comedy,Drama","Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman",7.5
A Hologram for the King,"Comedy,Drama","Tom Hanks, Sarita Choudhury, Ben Whishaw,Alexander Black",6.1
Money Monster,"Crime,Drama,Thriller","George Clooney, Julia Roberts, Jack O'Connell,Dominic West",6.5
The Other Woman,"Comedy,Romance","Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau",6
Enchanted,"Animation,Comedy,Family","Amy Adams, Susan Sarandon, James Marsden, Patrick Dempsey",7.1
The Intern,"Comedy,Drama","Robert De Niro, Anne Hathaway, Rene Russo,Anders Holm",7.1
Little Miss Sunshine,"Comedy,Drama","Steve Carell, Toni Collette, Greg Kinnear, Abigail Breslin",7.8
Bleed for This,"Biography,Drama,Sport","Miles Teller, Aaron Eckhart, Katey Sagal, Ciarán Hinds",6.8
Clash of the Titans,"Action,Adventure,Fantasy","Sam Worthington, Liam Neeson, Ralph Fiennes,Jason Flemyng",5.8
The Finest Hours,"Action,Drama,History","Chris Pine, Casey Affleck, Ben Foster, Eric Bana",6.8
Tron,"Action,Adventure,Sci-Fi","Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner",6.8
The Hunger Games: Catching Fire,"Action,Adventure,Mystery","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Philip Seymour Hoffman",7.6
All Good Things,"Crime,Drama,Mystery","Ryan Gosling, Kirsten Dunst, Frank Langella, Lily Rabe",6.3
Kickboxer: Vengeance,Action,"Dave Bautista, Alain Moussi, Gina Carano, Jean-Claude Van Damme",4.9
The Last Airbender,"Action,Adventure,Family","Noah Ringer, Nicola Peltz, Jackson Rathbone,Dev Patel",4.2
Sex Tape,"Comedy,Romance","Jason Segel, Cameron Diaz, Rob Corddry, Ellie Kemper",5.1
What to Expect When You're Expecting,"Comedy,Drama,Romance","Cameron Diaz, Matthew Morrison, J. Todd Smith, Dennis Quaid",5.7
Moneyball,"Biography,Drama,Sport","Brad Pitt, Robin Wright, Jonah Hill, Philip Seymour Hoffman",7.6
Ghost Rider,"Action,Fantasy,Thriller","Nicolas Cage, Eva Mendes, Sam Elliott, Matt Long",5.2
Unbroken,"Biography,Drama,Sport","Jack O'Connell, Miyavi, Domhnall Gleeson, Garrett Hedlund",7.2
Immortals,"Action,Drama,Fantasy","Henry Cavill, Mickey Rourke, John Hurt, Stephen Dorff",6
Sunshine,"Adventure,Sci-Fi,Thriller","Cillian Murphy, Rose Byrne, Chris Evans, Michelle Yeoh",7.3
Brave,"Animation,Adventure,Comedy","Kelly Macdonald,Billy Connolly, Emma Thompson, Julie Walters",7.2
Män som hatar kvinnor,"Drama,Mystery,Thriller","Michael Nyqvist, Noomi Rapace, Ewa Fröling,Lena Endre",7.8
Adoration,"Drama,Romance","Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville",6.2
The Drop,"Crime,Drama,Mystery","Tom Hardy, Noomi Rapace, James Gandolfini,Matthias Schoenaerts",7.1
She's the Man,"Comedy,Romance,Sport","Amanda Bynes, Laura Ramsey, Channing Tatum,Vinnie Jones",6.4
Daddy's Home,"Comedy,Family","Will Ferrell, Mark Wahlberg, Linda Cardellini, Thomas Haden Church",6.1
Let Me In,"Drama,Horror,Mystery","Kodi Smit-McPhee, Chloë Grace Moretz, Richard Jenkins, Cara Buono",7.2
Never Back Down,"Action,Drama,Sport","Sean Faris, Djimon Hounsou, Amber Heard, Cam Gigandet",6.6
Grimsby,"Action,Adventure,Comedy","Sacha Baron Cohen, Mark Strong, Rebel Wilson,Freddie Crowder",6.2
Moon,"Drama,Mystery,Sci-Fi","Sam Rockwell, Kevin Spacey, Dominique McElligott,Rosie Shaw",7.9
Megamind,"Animation,Action,Comedy","Will Ferrell, Jonah Hill, Brad Pitt, Tina Fey",7.3
Gangster Squad,"Action,Crime,Drama","Sean Penn, Ryan Gosling, Emma Stone, Giovanni Ribisi",6.7
Blood Father,"Action,Crime,Drama","Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks",6.4
He's Just Not That Into You,"Comedy,Drama,Romance","Jennifer Aniston, Jennifer Connelly, Morgan Lily,Trenton Rogers",6.4
Kung Fu Panda 3,"Animation,Action,Adventure","Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie",7.2
The Rise of the Krays,"Crime,Drama","Matt Vael, Simon Cotton, Kevin Leslie, Olivia Moyles",5.1
Handsome Devil,Drama,"Fionn O'Shea, Nicholas Galitzine, Andrew Scott, Moe Dunford",7.4
Winter's Bone,Drama,"Jennifer Lawrence, John Hawkes, Garret Dillahunt,Isaiah Stone",7.2
Horrible Bosses,"Comedy,Crime","Jason Bateman, Charlie Day, Jason Sudeikis, Steve Wiebe",6.9
Mommy,Drama,"Anne Dorval, Antoine-Olivier Pilon, Suzanne Clément,Patrick Huard",8.1
Hellboy II: The Golden Army,"Action,Adventure,Fantasy","Ron Perlman, Selma Blair, Doug Jones, John Alexander",7
Beautiful Creatures,"Drama,Fantasy,Romance","Alice Englert, Viola Davis, Emma Thompson,Alden Ehrenreich",6.2
Toni Erdmann,"Comedy,Drama","Sandra Hüller, Peter Simonischek, Michael Wittenborn,Thomas Loibl",7.6
The Lovely Bones,"Drama,Fantasy,Thriller","Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon",6.7
The Assassination of Jesse James by the Coward Robert Ford,"Biography,Crime,Drama","Brad Pitt, Casey Affleck, Sam Shepard, Mary-Louise Parker",7.5
Don Jon,"Comedy,Drama,Romance","Joseph Gordon-Levitt, Scarlett Johansson,Julianne Moore, Tony Danza",6.6
Bastille Day,"Action,Crime,Drama","Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly",6.3
2307: Winter's Dream,Sci-Fi,"Paul Sidhu, Branden Coles, Arielle Holmes, Kelcey Watson",4
Free State of Jones,"Action,Biography,Drama","Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell",6.9
Mr. Right,"Action,Comedy,Romance","Anna Kendrick, Sam Rockwell, Tim Roth, James Ransone",6.3
The Secret Life of Walter Mitty,"Adventure,Comedy,Drama","Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn",7.3
Dope,"Comedy,Crime,Drama","Shameik Moore, Tony Revolori, Kiersey Clemons,Kimberly Elise",7.3
Underworld Awakening,"Action,Fantasy,Horror","Kate Beckinsale, Michael Ealy, India Eisley, Stephen Rea",6.4
Antichrist,"Drama,Horror","Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm",6.6
Friday the 13th,Horror,"Jared Padalecki, Amanda Righetti, Derek Mears,Danielle Panabaker",5.6
Taken 3,"Action,Thriller","Liam Neeson, Forest Whitaker, Maggie Grace,Famke Janssen",6
Total Recall,"Action,Adventure,Mystery","Colin Farrell, Bokeem Woodbine, Bryan Cranston,Kate Beckinsale",6.3
X-Men: The Last Stand,"Action,Adventure,Fantasy","Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen",6.7
The Escort,"Comedy,Drama,Romance","Lyndsy Fonseca, Michael Doneger, Tommy Dewey,Bruce Campbell",6
The Whole Truth,"Crime,Drama,Mystery","Keanu Reeves, Renée Zellweger, Gugu Mbatha-Raw, Gabriel Basso",6.1
Night at the Museum: Secret of the Tomb,"Adventure,Comedy,Family","Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke",6.2
Love & Other Drugs,"Comedy,Drama,Romance","Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt",6.7
The Interview,Comedy,"James Franco, Seth Rogen, Randall Park, Lizzy Caplan",6.6
The Host,"Comedy,Drama,Horror","Kang-ho Song, Hee-Bong Byun, Hae-il Park, Doona Bae",7
Megan Is Missing,"Drama,Horror,Thriller","Amber Perkins, Rachel Quinn, Dean Waite, Jael Elizabeth Steinmeyer",4.9
WALL·E,"Animation,Adventure,Family","Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard",8.4
Knocked Up,"Comedy,Romance","Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann",7
Source Code,"Mystery,Romance,Sci-Fi","Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga,Jeffrey Wright",7.5
Lawless,"Crime,Drama","Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke",7.3
Unfriended,"Drama,Horror,Mystery","Heather Sossaman, Matthew Bohrer, Courtney Halverson, Shelley Hennig",5.6
American Reunion,Comedy,"Jason Biggs, Alyson Hannigan,Seann William Scott, Chris Klein",6.7
The Pursuit of Happyness,"Biography,Drama","Will Smith, Thandie Newton, Jaden Smith, Brian Howe",8
Relatos salvajes,"Comedy,Drama,Thriller","Darío Grandinetti, María Marull, Mónica Villa, Rita Cortese",8.1
The Ridiculous 6,"Comedy,Western","Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner",4.8
Frantz,"Drama,History,War","Pierre Niney, Paula Beer, Ernst Stötzner, Marie Gruber",7.5
Viral,"Drama,Horror,Sci-Fi","Sofia Black-D'Elia, Analeigh Tipton,Travis Tope, Michael Kelly",5.5
Gran Torino,Drama,"Clint Eastwood, Bee Vang, Christopher Carley,Ahney Her",8.2
Burnt,"Comedy,Drama","Bradley Cooper, Sienna Miller, Daniel Brühl, Riccardo Scamarcio",6.6
Tall Men,"Fantasy,Horror,Thriller","Dan Crisafulli, Kay Whitney, Richard Garcia, Pat Cashman",3.2
Sleeping Beauty,"Drama,Romance","Emily Browning, Rachael Blake, Ewen Leslie, Bridgette Barrett",5.3
Vampire Academy,"Action,Comedy,Fantasy","Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne",5.6
Sweeney Todd: The Demon Barber of Fleet Street,"Drama,Horror,Musical","Johnny Depp, Helena Bonham Carter, Alan Rickman,Timothy Spall",7.4
Solace,"Crime,Drama,Mystery","Anthony Hopkins, Jeffrey Dean Morgan, Abbie Cornish, Colin Farrell",6.4
Insidious,"Horror,Mystery,Thriller","Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye",6.8
Popstar: Never Stop Never Stopping,"Comedy,Music","Andy Samberg, Jorma Taccone,Akiva Schaffer, Sarah Silverman",6.7
The Levelling,Drama,"Ellie Kendrick, David Troughton, Jack Holden,Joe Blakemore",6.4
Public Enemies,"Biography,Crime,Drama","Christian Bale, Johnny Depp, Christian Stolte, Jason Clarke",7
Boyhood,Drama,"Ellar Coltrane, Patricia Arquette, Ethan Hawke,Elijah Smith",7.9
Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy","Megan Fox, Will Arnett, William Fichtner, Noel Fisher",5.9
Eastern Promises,"Crime,Drama,Mystery","Naomi Watts, Viggo Mortensen, Armin Mueller-Stahl, Josef Altin",7.7
The Daughter,Drama,"Geoffrey Rush, Nicholas Hope, Sam Neill, Ewen Leslie",6.7
Pineapple Express,"Action,Comedy,Crime","Seth Rogen, James Franco, Gary Cole, Danny McBride",7
The First Time,"Comedy,Drama,Romance","Dylan O'Brien, Britt Robertson, Victoria Justice, James Frecheville",6.9
Gone Baby Gone,"Crime,Drama,Mystery","Morgan Freeman, Ed Harris, Casey Affleck, Michelle Monaghan",7.7
The Heat,"Action,Comedy,Crime","Sandra Bullock, Michael McDonald, Melissa McCarthy,Demián Bichir",6.6
L'avenir,Drama,"Isabelle Huppert, André Marcon, Roman Kolinka,Edith Scob",7.1
Anna Karenina,"Drama,Romance","Keira Knightley, Jude Law, Aaron Taylor-Johnson,Matthew Macfadyen",6.6
Regression,"Crime,Drama,Mystery","Ethan Hawke, David Thewlis, Emma Watson,Dale Dickey",5.7
Ted 2,"Adventure,Comedy,Romance","Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth",6.3
Pain & Gain,"Comedy,Crime,Drama","Mark Wahlberg, Dwayne Johnson, Anthony Mackie,Tony Shalhoub",6.5
Blood Diamond,"Adventure,Drama,Thriller","Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers",8
Devil's Knot,"Biography,Crime,Drama","Colin Firth, Reese Witherspoon, Alessandro Nivola,James Hamrick",6.1
Child 44,"Crime,Drama,Thriller","Tom Hardy, Gary Oldman, Noomi Rapace, Joel Kinnaman",6.5
The Hurt Locker,"Drama,History,Thriller","Jeremy Renner, Anthony Mackie, Brian Geraghty,Guy Pearce",7.6
Green Lantern,"Action,Adventure,Sci-Fi","Ryan Reynolds, Blake Lively, Peter Sarsgaard,Mark Strong",5.6
War on Everyone,"Action,Comedy","Alexander Skarsgård, Michael Peña, Theo James, Tessa Thompson",5.9
The Mist,Horror,"Thomas Jane, Marcia Gay Harden, Laurie Holden,Andre Braugher",7.2
Escape Plan,"Action,Crime,Mystery","Sylvester Stallone, Arnold Schwarzenegger, 50 Cent, Vincent D'Onofrio",6.7
"Love, Rosie","Comedy,Romance","Lily Collins, Sam Claflin, Christian Cooke, Jaime Winstone",7.2
The DUFF,Comedy,"Mae Whitman, Bella Thorne, Robbie Amell, Allison Janney",6.5
The Age of Shadows,"Action,Drama,Thriller","Byung-hun Lee, Yoo Gong, Kang-ho Song, Ji-min Han",7.2
The Hunger Games: Mockingjay - Part 1,"Action,Adventure,Sci-Fi","Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson",6.7
We Need to Talk About Kevin,"Drama,Mystery,Thriller","Tilda Swinton, John C. Reilly, Ezra Miller, Jasper Newell",7.5
Love & Friendship,"Comedy,Drama,Romance","Kate Beckinsale, Chloë Sevigny, Xavier Samuel,Emma Greenwell",6.5
The Mortal Instruments: City of Bones,"Action,Fantasy,Horror","Lily Collins, Jamie Campbell Bower, Robert Sheehan,Jemima West",5.9
Seven Pounds,"Drama,Romance","Will Smith, Rosario Dawson, Woody Harrelson,Michael Ealy",7.7
The King's Speech,"Biography,Drama","Colin Firth, Geoffrey Rush, Helena Bonham Carter,Derek Jacobi",8
Hunger,"Biography,Drama","Stuart Graham, Laine Megaw, Brian Milligan, Liam McMahon",7.6
Jumper,"Action,Adventure,Sci-Fi","Hayden Christensen, Samuel L. Jackson, Jamie Bell,Rachel Bilson",6.1
Toy Story 3,"Animation,Adventure,Comedy","Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",8.3
Tinker Tailor Soldier Spy,"Drama,Mystery,Thriller","Gary Oldman, Colin Firth, Tom Hardy, Mark Strong",7.1
Resident Evil: Retribution,"Action,Horror,Sci-Fi","Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer",5.4
Dear Zindagi,"Drama,Romance","Alia Bhatt, Shah Rukh Khan, Kunal Kapoor, Priyanka Moodley",7.8
Genius,"Biography,Drama","Colin Firth, Jude Law, Nicole Kidman, Laura Linney",6.5
Pompeii,"Action,Adventure,Drama","Kit Harington, Emily Browning, Kiefer Sutherland, Adewale Akinnuoye-Agbaje",5.5
Life of Pi,"Adventure,Drama,Fantasy","Suraj Sharma, Irrfan Khan, Adil Hussain, Tabu",7.9
Hachi: A Dog's Tale,"Drama,Family","Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa,Sarah Roemer",8.1
10 Years,"Comedy,Drama,Romance","Channing Tatum, Rosario Dawson, Chris Pratt, Jenna Dewan Tatum",6.1
I Origins,"Drama,Romance,Sci-Fi","Michael Pitt, Steven Yeun, Astrid Bergès-Frisbey, Brit Marling",7.3
Live Free or Die Hard,"Action,Adventure,Thriller","Bruce Willis, Justin Long, Timothy Olyphant, Maggie Q",7.2
The Matchbreaker,"Comedy,Romance","Wesley Elder, Christina Grimmie, Osric Chau, Olan Rogers",5.5
Funny Games,"Crime,Drama,Horror","Naomi Watts, Tim Roth, Michael Pitt, Brady Corbet",6.5
Ted,"Comedy,Fantasy","Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale",7
RED,"Action,Comedy,Crime","Bruce Willis, Helen Mirren, Morgan Freeman,Mary-Louise Parker",7.1
Australia,"Adventure,Drama,Romance","Nicole Kidman, Hugh Jackman, Shea Adams, Eddie Baroo",6.6
